KrS,Landkreis,Einwohner
01057,LK Plön,128686
12069,LK Potsdam-Mittelmark,216566
12070,LK Prignitz,76158
08216,LK Rastatt,231420
08436,LK Ravensburg,285424
05562,LK Recklinghausen,614137
09276,LK Regen,77410
09375,LK Regensburg,194070
08119,LK Rems-Murr-Kreis,427248
01058,LK Rendsburg-Eckernförde,274098
08415,LK Reutlingen,287034
05362,LK Rhein-Erft-Kreis,470615
07140,LK Rhein-Hunsrück-Kreis,103163
05162,LK Rhein-Kreis Neuss,451730
07141,LK Rhein-Lahn-Kreis,122297
08226,LK Rhein-Neckar-Kreis,548355
07338,LK Rhein-Pfalz-Kreis,154609
05382,LK Rhein-Sieg-Kreis,600764
06439,LK Rheingau-Taunus-Kreis,187160
05378,LK Rheinisch-Bergischer Kreis,283271
09673,LK Rhön-Grabfeld,79635
09187,LK Rosenheim,261330
13072,LK Rostock,215794
03357,LK Rotenburg (Wümme),163782
09576,LK Roth,126749
09277,LK Rottal-Inn,121502
08325,LK Rottweil,139878
16074,LK Saale-Holzland-Kreis,82950
16075,LK Saale-Orla-Kreis,80312
15088,LK Saalekreis,183815
16073,LK Saalfeld-Rudolstadt,103199
10045,LK Saar-Pfalz-Kreis,142196
10044,LK Saarlouis,194319
14628,LK Sächsische Schweiz-Osterzgebirge,245586
15089,LK Salzlandkreis,189125
10046,LK Sankt Wendel,87007
03257,LK Schaumburg,157820
01059,LK Schleswig-Flensburg,201156
16066,LK Schmalkalden-Meiningen,124916
08127,LK Schwäbisch Hall,196761
06634,LK Schwalm-Eder-Kreis,179673
09376,LK Schwandorf,147872
08326,LK Schwarzwald-Baar-Kreis,212506
09678,LK Schweinfurt,115445
01060,LK Segeberg,277175
05970,LK Siegen-Wittgenstein,276944
08437,LK Sigmaringen,130849
05974,LK Soest,301785
16068,LK Sömmerda,69427
16072,LK Sonneberg,57717
12071,LK Spree-Neiße,113720
03359,LK Stade,204512
10041,LK Stadtverband Saarbrücken,328714
09188,LK Starnberg,136667
01061,LK Steinburg,131013
05566,LK Steinfurt,448220
15090,LK Stendal,111190
01062,LK Stormarn,244156
09278,LK Straubing-Bogen,101120
07337,LK Südliche Weinstraße,110521
07340,LK Südwestpfalz,94831
12072,LK Teltow-Fläming,169997
09377,LK Tirschenreuth,72046
09189,LK Traunstein,177319
07235,LK Trier-Saarburg,149398
08416,LK Tübingen,228678
08327,LK Tuttlingen,140766
12073,LK Uckermark,118947
03360,LK Uelzen,92389
05978,LK Unna,394891
16064,LK Unstrut-Hainich-Kreis,102232
09778,LK Unterallgäu,145341
03460,LK Vechta,142814
03361,LK Verden,137133
05166,LK Viersen,298863
06535,LK Vogelsbergkreis,105643
14523,LK Vogtlandkreis,225997
13075,LK Vorpommern-Greifswald,235623
13073,LK Vorpommern-Rügen,224702
07233,LK Vulkaneifel,60646
06635,LK Waldeck-Frankenberg,156406
08337,LK Waldshut,171003
05570,LK Warendorf,277840
16063,LK Wartburgkreis,118974
09190,LK Weilheim-Schongau,135478
16071,LK Weimarer Land,82156
09577,LK Weißenburg-Gunzenhausen,94734
06636,LK Werra-Meißner-Kreis,100629
05170,LK Wesel,459976
03461,LK Wesermarsch,88583
07143,LK Westerwaldkreis,201904
06440,LK Wetteraukreis,308339
15091,LK Wittenberg,124953
03462,LK Wittmund,56926
03158,LK Wolfenbüttel,119622
09479,LK Wunsiedel i.Fichtelgebirge,72655
09679,LK Würzburg,162302
08417,LK Zollernalbkreis,189363
14524,LK Zwickau,315002
03241,Region Hannover,1157115
09361,SK Amberg,42207
09561,SK Ansbach,41798
09661,SK Aschaffenburg,71002
09761,SK Augsburg,296582
08211,SK Baden-Baden,55185
09461,SK Bamberg,77373
09462,SK Bayreuth,74783
11004,SK Berlin Charlottenburg-Wilmersdorf,334401
11002,SK Berlin Friedrichshain-Kreuzberg,282059
11011,SK Berlin Lichtenberg,286522
11010,SK Berlin Marzahn-Hellersdorf,262967
11001,SK Berlin Mitte,375238
11008,SK Berlin Neukölln,321123
11003,SK Berlin Pankow,398036
11012,SK Berlin Reinickendorf,259689
11005,SK Berlin Spandau,239019
11006,SK Berlin Steglitz-Zehlendorf,302177
11007,SK Berlin Tempelhof-Schöneberg,341772
11009,SK Berlin Treptow-Köpenick,266488
05711,SK Bielefeld,334195
05911,SK Bochum,365587
05314,SK Bonn,329673
05512,SK Bottrop,117565
12051,SK Brandenburg a.d.Havel,72184
03101,SK Braunschweig,249406
04011,SK Bremen,567559
04012,SK Bremerhaven,113643
14511,SK Chemnitz,246334
09463,SK Coburg,41072
12052,SK Cottbus,99678
06411,SK Darmstadt,159878
03401,SK Delmenhorst,77559
15001,SK Dessau-Roßlau,80103
05913,SK Dortmund,588250
14612,SK Dresden,556780
05112,SK Duisburg,498686
05111,SK Düsseldorf,621877
16056,SK Eisenach,42250
03402,SK Emden,49913
16051,SK Erfurt,213981
09562,SK Erlangen,112528
05113,SK Essen,582760
01001,SK Flensburg,90164
07311,SK Frankenthal,48762
12053,SK Frankfurt (Oder),57751
06412,SK Frankfurt am Main,763380
08311,SK Freiburg i.Breisgau,231195
09563,SK Fürth,128497
05513,SK Gelsenkirchen,259645
16052,SK Gera,93125
05914,SK Hagen,188686
15002,SK Halle,238762
02000,SK Hamburg,1847253
05915,SK Hamm,179916
08221,SK Heidelberg,161485
08121,SK Heilbronn,126592
05916,SK Herne,156449
09464,SK Hof,45825
09161,SK Ingolstadt,137392
16053,SK Jena,111343
07312,SK Kaiserslautern,100030
08212,SK Karlsruhe,312060
06611,SK Kassel,202137
09762,SK Kaufbeuren,44398
09763,SK Kempten,69151
01002,SK Kiel,246794
07111,SK Koblenz,114052
05315,SK Köln,1087863
05114,SK Krefeld,227417
07313,SK Landau i.d.Pfalz,46881
09261,SK Landshut,73411
14713,SK Leipzig,593145
05316,SK Leverkusen,163729
01003,SK Lübeck,216530
07314,SK Ludwigshafen,172253
15003,SK Magdeburg,237565
07315,SK Mainz,218578
08222,SK Mannheim,310658
09764,SK Memmingen,44100
05116,SK Mönchengladbach,261034
05117,SK Mülheim a.d.Ruhr,170632
09162,SK München,1484226
05515,SK Münster,315293
01004,SK Neumünster,80196
07316,SK Neustadt a.d.Weinstraße,53264
09564,SK Nürnberg,518370
05119,SK Oberhausen,210764
06413,SK Offenbach,130280
03403,SK Oldenburg,169077
03404,SK Osnabrück,165251
09262,SK Passau,52803
08231,SK Pforzheim,125957
07317,SK Pirmasens,40231
12054,SK Potsdam,180334
09362,SK Regensburg,153094
05120,SK Remscheid,111338
09163,SK Rosenheim,63551
13003,SK Rostock,209191
03102,SK Salzgitter,104291
09565,SK Schwabach,40981
09662,SK Schweinfurt,53426
13004,SK Schwerin,95653
05122,SK Solingen,159245
07318,SK Speyer,50561
09263,SK Straubing,47791
08111,SK Stuttgart,635911
16054,SK Suhl,36789
07211,SK Trier,111528
08421,SK Ulm,126790
09363,SK Weiden i.d.OPf.,42743
16055,SK Weimar,65228
06414,SK Wiesbaden,278474
03405,SK Wilhelmshaven,76089
03103,SK Wolfsburg,124371
07319,SK Worms,83542
05124,SK Wuppertal,355100
09663,SK Würzburg,127934
07320,SK Zweibrücken,34193
05334,StadtRegion Aachen,557026
